Var1,Var2,Var3
83332.Rv0001,83332.Rv0002,996
83332.Rv0002,83332.Rv0001,996
83332.Rv0002,83332.Rv0003,996
83332.Rv0003,83332.Rv0002,996
83332.Rv0005,83332.Rv0006,999
83332.Rv0006,83332.Rv0005,999
83332.Rv0013,83332.Rv1005c,996
83332.Rv0013,83332.Rv1609,999
83332.Rv0013,83332.Rv2192c,996
83332.Rv0016c,83332.Rv0017c,998
83332.Rv0017c,83332.Rv0016c,998
83332.Rv0113,83332.Rv0114,998
83332.Rv0114,83332.Rv0113,998
83332.Rv0126,83332.Rv0127,998
83332.Rv0127,83332.Rv0126,998
83332.Rv0137c,83332.Rv2674,997
83332.Rv0155,83332.Rv0156,999
83332.Rv0155,83332.Rv0157,999
83332.Rv0156,83332.Rv0155,999
83332.Rv0156,83332.Rv0157,999
83332.Rv0157,83332.Rv0155,999
83332.Rv0157,83332.Rv0156,999
83332.Rv0189c,83332.Rv2210c,996
83332.Rv0189c,83332.Rv3001c,999
83332.Rv0252,83332.Rv0253,999
83332.Rv0253,83332.Rv0252,999
83332.Rv0254c,83332.Rv0255c,997
83332.Rv0254c,83332.Rv2208,996
83332.Rv0255c,83332.Rv0254c,997
83332.Rv0263c,83332.Rv0264c,999
83332.Rv0264c,83332.Rv0263c,999
83332.Rv0306,83332.Rv2207,997
83332.Rv0334,83332.Rv3464,998
83332.Rv0334,83332.Rv3465,996
83332.Rv0350,83332.Rv0351,998
83332.Rv0350,83332.Rv0352,996
83332.Rv0351,83332.Rv0350,998
83332.Rv0352,83332.Rv0350,996
83332.Rv0357c,83332.Rv0777,998
83332.Rv0363c,83332.Rv1436,996
83332.Rv0363c,83332.Rv1438,997
83332.Rv0373c,83332.Rv0374c,999
83332.Rv0373c,83332.Rv0375c,998
83332.Rv0374c,83332.Rv0373c,999
83332.Rv0374c,83332.Rv0375c,999
83332.Rv0375c,83332.Rv0373c,998
83332.Rv0375c,83332.Rv0374c,999
83332.Rv0408,83332.Rv0409,999
83332.Rv0409,83332.Rv0408,999
83332.Rv0414c,83332.Rv0417,998
83332.Rv0414c,83332.Rv0422c,999
83332.Rv0417,83332.Rv0414c,998
83332.Rv0422c,83332.Rv0414c,999
83332.Rv0422c,83332.Rv0423c,997
83332.Rv0423c,83332.Rv0422c,997
83332.Rv0436c,83332.Rv0437c,999
83332.Rv0437c,83332.Rv0436c,999
83332.Rv0440,83332.Rv3418c,999
83332.Rv0448c,83332.Rv0449c,996
83332.Rv0449c,83332.Rv0448c,996
83332.Rv0462,83332.Rv2215,997
83332.Rv0482,83332.Rv2152c,997
83332.Rv0490,83332.Rv0491,997
83332.Rv0491,83332.Rv0490,997
83332.Rv0500,83332.Rv2427c,997
83332.Rv0509,83332.Rv0524,999
83332.Rv0510,83332.Rv0511,997
83332.Rv0510,83332.Rv0512,999
83332.Rv0510,83332.Rv2678c,997
83332.Rv0511,83332.Rv0510,997
83332.Rv0512,83332.Rv0510,999
83332.Rv0524,83332.Rv0509,999
83332.Rv0533c,83332.Rv2243,996
83332.Rv0618,83332.Rv0619,999
83332.Rv0618,83332.Rv0620,998
83332.Rv0619,83332.Rv0618,999
83332.Rv0619,83332.Rv0620,998
83332.Rv0620,83332.Rv0618,998
83332.Rv0620,83332.Rv0619,998
83332.Rv0629c,83332.Rv0630c,999
83332.Rv0629c,83332.Rv0631c,999
83332.Rv0630c,83332.Rv0629c,999
83332.Rv0630c,83332.Rv0631c,999
83332.Rv0631c,83332.Rv0629c,999
83332.Rv0631c,83332.Rv0630c,999
83332.Rv0640,83332.Rv0641,999
83332.Rv0640,83332.Rv0651,996
83332.Rv0640,83332.Rv0652,996
83332.Rv0641,83332.Rv0640,999
83332.Rv0641,83332.Rv2057c,999
83332.Rv0651,83332.Rv0640,996
83332.Rv0651,83332.Rv0652,999
83332.Rv0652,83332.Rv0640,996
83332.Rv0652,83332.Rv0651,999
83332.Rv0667,83332.Rv0668,999
83332.Rv0667,83332.Rv3457c,999
83332.Rv0668,83332.Rv0667,999
83332.Rv0668,83332.Rv3457c,998
83332.Rv0682,83332.Rv0683,999
83332.Rv0682,83332.Rv0721,997
83332.Rv0683,83332.Rv0682,999
83332.Rv0683,83332.Rv0685,997
83332.Rv0685,83332.Rv0683,997
83332.Rv0700,83332.Rv0701,996
83332.Rv0700,83332.Rv0702,996
83332.Rv0700,83332.Rv0705,997
83332.Rv0700,83332.Rv0710,997
83332.Rv0701,83332.Rv0700,996
83332.Rv0701,83332.Rv0702,999
83332.Rv0701,83332.Rv0703,999
83332.Rv0701,83332.Rv0704,998
83332.Rv0701,83332.Rv0706,998
83332.Rv0701,83332.Rv0708,997
83332.Rv0702,83332.Rv0700,996
83332.Rv0702,83332.Rv0701,999
83332.Rv0702,83332.Rv0703,999
83332.Rv0702,83332.Rv0704,999
83332.Rv0702,83332.Rv0706,998
83332.Rv0702,83332.Rv0708,998
83332.Rv0703,83332.Rv0701,999
83332.Rv0703,83332.Rv0702,999
83332.Rv0703,83332.Rv0704,998
83332.Rv0703,83332.Rv0706,998
83332.Rv0703,83332.Rv0708,998
83332.Rv0703,83332.Rv2916c,999
83332.Rv0704,83332.Rv0701,998
83332.Rv0704,83332.Rv0702,999
83332.Rv0704,83332.Rv0703,998
83332.Rv0704,83332.Rv0705,998
83332.Rv0704,83332.Rv0706,999
83332.Rv0704,83332.Rv0707,997
83332.Rv0704,83332.Rv0708,999
83332.Rv0705,83332.Rv0700,997
83332.Rv0705,83332.Rv0704,998
83332.Rv0705,83332.Rv0706,997
83332.Rv0705,83332.Rv0707,999
83332.Rv0705,83332.Rv0708,998
83332.Rv0705,83332.Rv0710,999
83332.Rv0705,83332.Rv2056c,999
83332.Rv0706,83332.Rv0701,998
83332.Rv0706,83332.Rv0702,998
83332.Rv0706,83332.Rv0703,998
83332.Rv0706,83332.Rv0704,999
83332.Rv0706,83332.Rv0705,997
83332.Rv0706,83332.Rv0707,997
83332.Rv0706,83332.Rv0708,999
83332.Rv0707,83332.Rv0704,997
83332.Rv0707,83332.Rv0705,999
83332.Rv0707,83332.Rv0706,997
83332.Rv0707,83332.Rv0708,999
83332.Rv0707,83332.Rv0710,999
83332.Rv0708,83332.Rv0701,997
83332.Rv0708,83332.Rv0702,998
83332.Rv0708,83332.Rv0703,998
83332.Rv0708,83332.Rv0704,999
83332.Rv0708,83332.Rv0705,998
83332.Rv0708,83332.Rv0706,999
83332.Rv0708,83332.Rv0707,999
83332.Rv0708,83332.Rv0709,997
83332.Rv0708,83332.Rv0710,997
83332.Rv0709,83332.Rv0708,997
83332.Rv0710,83332.Rv0700,997
83332.Rv0710,83332.Rv0705,999
83332.Rv0710,83332.Rv0707,999
83332.Rv0710,83332.Rv0708,997
83332.Rv0710,83332.Rv0718,996
83332.Rv0714,83332.Rv0715,999
83332.Rv0714,83332.Rv0716,999
83332.Rv0715,83332.Rv0714,999
83332.Rv0715,83332.Rv0716,999
83332.Rv0715,83332.Rv0719,996
83332.Rv0716,83332.Rv0714,999
83332.Rv0716,83332.Rv0715,999
83332.Rv0716,83332.Rv0719,996
83332.Rv0716,83332.Rv0720,998
83332.Rv0718,83332.Rv0710,996
83332.Rv0718,83332.Rv0721,998
83332.Rv0718,83332.Rv3458c,997
83332.Rv0718,83332.Rv3459c,997
83332.Rv0719,83332.Rv0715,996
83332.Rv0719,83332.Rv0716,996
83332.Rv0719,83332.Rv0720,999
83332.Rv0719,83332.Rv0723,998
83332.Rv0720,83332.Rv0716,998
83332.Rv0720,83332.Rv0719,999
83332.Rv0720,83332.Rv0723,997
83332.Rv0721,83332.Rv0682,997
83332.Rv0721,83332.Rv0718,998
83332.Rv0721,83332.Rv3459c,996
83332.Rv0721,83332.Rv3460c,997
83332.Rv0722,83332.Rv0723,996
83332.Rv0722,83332.Rv3456c,999
83332.Rv0723,83332.Rv0719,998
83332.Rv0723,83332.Rv0720,997
83332.Rv0723,83332.Rv0722,996
83332.Rv0772,83332.Rv0808,998
83332.Rv0772,83332.Rv0956,999
83332.Rv0772,83332.Rv3275c,996
83332.Rv0777,83332.Rv0357c,998
83332.Rv0777,83332.Rv0780,996
83332.Rv0777,83332.Rv0957,996
83332.Rv0780,83332.Rv0777,996
83332.Rv0781,83332.Rv0782,996
83332.Rv0782,83332.Rv0781,996
83332.Rv0787A,83332.Rv0788,999
83332.Rv0788,83332.Rv0787A,999
83332.Rv0788,83332.Rv0803,999
83332.Rv0803,83332.Rv0788,999
83332.Rv0808,83332.Rv0772,998
83332.Rv0808,83332.Rv0809,997
83332.Rv0809,83332.Rv0808,997
83332.Rv0843,83332.Rv2496c,999
83332.Rv0859,83332.Rv0860,999
83332.Rv0860,83332.Rv0859,999
83332.Rv0902c,83332.Rv0903c,996
83332.Rv0903c,83332.Rv0902c,996
83332.Rv0928,83332.Rv0929,999
83332.Rv0928,83332.Rv0930,998
83332.Rv0929,83332.Rv0928,999
83332.Rv0929,83332.Rv0930,998
83332.Rv0930,83332.Rv0928,998
83332.Rv0930,83332.Rv0929,998
83332.Rv0933,83332.Rv0935,998
83332.Rv0933,83332.Rv0936,998
83332.Rv0934,83332.Rv0935,999
83332.Rv0934,83332.Rv0936,997
83332.Rv0935,83332.Rv0933,998
83332.Rv0935,83332.Rv0934,999
83332.Rv0935,83332.Rv0936,998
83332.Rv0936,83332.Rv0933,998
83332.Rv0936,83332.Rv0934,997
83332.Rv0936,83332.Rv0935,998
83332.Rv0951,83332.Rv0952,999
83332.Rv0952,83332.Rv0951,999
83332.Rv0956,83332.Rv0772,999
83332.Rv0956,83332.Rv0957,999
83332.Rv0957,83332.Rv0777,996
83332.Rv0957,83332.Rv0956,999
83332.Rv1005c,83332.Rv0013,996
83332.Rv1023,83332.Rv1437,998
83332.Rv1023,83332.Rv1617,997
83332.Rv1027c,83332.Rv1028c,998
83332.Rv1028c,83332.Rv1027c,998
83332.Rv1028c,83332.Rv1030,996
83332.Rv1029,83332.Rv1030,999
83332.Rv1029,83332.Rv1031,999
83332.Rv1030,83332.Rv1028c,996
83332.Rv1030,83332.Rv1029,999
83332.Rv1030,83332.Rv1031,999
83332.Rv1031,83332.Rv1029,999
83332.Rv1031,83332.Rv1030,999
83332.Rv1032c,83332.Rv1033c,996
83332.Rv1033c,83332.Rv1032c,996
83332.Rv1161,83332.Rv1162,999
83332.Rv1161,83332.Rv1163,999
83332.Rv1161,83332.Rv1164,999
83332.Rv1162,83332.Rv1161,999
83332.Rv1162,83332.Rv1163,999
83332.Rv1162,83332.Rv1164,999
83332.Rv1163,83332.Rv1161,999
83332.Rv1163,83332.Rv1162,999
83332.Rv1163,83332.Rv1164,999
83332.Rv1164,83332.Rv1161,999
83332.Rv1164,83332.Rv1162,999
83332.Rv1164,83332.Rv1163,999
83332.Rv1207,83332.Rv3606c,996
83332.Rv1235,83332.Rv1236,998
83332.Rv1235,83332.Rv1237,998
83332.Rv1236,83332.Rv1235,998
83332.Rv1236,83332.Rv1237,997
83332.Rv1236,83332.Rv1238,996
83332.Rv1237,83332.Rv1235,998
83332.Rv1237,83332.Rv1236,997
83332.Rv1237,83332.Rv1238,998
83332.Rv1238,83332.Rv1236,996
83332.Rv1238,83332.Rv1237,998
83332.Rv1281c,83332.Rv1282c,998
83332.Rv1281c,83332.Rv1283c,997
83332.Rv1282c,83332.Rv1281c,998
83332.Rv1282c,83332.Rv1283c,998
83332.Rv1283c,83332.Rv1281c,997
83332.Rv1283c,83332.Rv1282c,998
83332.Rv1285,83332.Rv1286,999
83332.Rv1286,83332.Rv1285,999
83332.Rv1286,83332.Rv2392,997
83332.Rv1294,83332.Rv1296,998
83332.Rv1296,83332.Rv1294,998
83332.Rv1304,83332.Rv1305,999
83332.Rv1304,83332.Rv1306,999
83332.Rv1304,83332.Rv1308,999
83332.Rv1304,83332.Rv1309,999
83332.Rv1304,83332.Rv1310,999
83332.Rv1304,83332.Rv1311,996
83332.Rv1305,83332.Rv1304,999
83332.Rv1305,83332.Rv1306,997
83332.Rv1305,83332.Rv1308,999
83332.Rv1305,83332.Rv1309,996
83332.Rv1305,83332.Rv1310,997
83332.Rv1305,83332.Rv1311,998
83332.Rv1306,83332.Rv1304,999
83332.Rv1306,83332.Rv1305,997
83332.Rv1306,83332.Rv1308,999
83332.Rv1306,83332.Rv1309,999
83332.Rv1306,83332.Rv1310,999
83332.Rv1306,83332.Rv1311,997
83332.Rv1307,83332.Rv1309,997
83332.Rv1308,83332.Rv1304,999
83332.Rv1308,83332.Rv1305,999
83332.Rv1308,83332.Rv1306,999
83332.Rv1308,83332.Rv1309,999
83332.Rv1308,83332.Rv1310,999
83332.Rv1308,83332.Rv1311,999
83332.Rv1309,83332.Rv1304,999
83332.Rv1309,83332.Rv1305,996
83332.Rv1309,83332.Rv1306,999
83332.Rv1309,83332.Rv1307,997
83332.Rv1309,83332.Rv1308,999
83332.Rv1309,83332.Rv1310,999
83332.Rv1309,83332.Rv1311,999
83332.Rv1310,83332.Rv1304,999
83332.Rv1310,83332.Rv1305,997
83332.Rv1310,83332.Rv1306,999
83332.Rv1310,83332.Rv1308,999
83332.Rv1310,83332.Rv1309,999
83332.Rv1310,83332.Rv1311,999
83332.Rv1311,83332.Rv1304,996
83332.Rv1311,83332.Rv1305,998
83332.Rv1311,83332.Rv1306,997
83332.Rv1311,83332.Rv1308,999
83332.Rv1311,83332.Rv1309,999
83332.Rv1311,83332.Rv1310,999
83332.Rv1335,83332.Rv1336,996
83332.Rv1336,83332.Rv1335,996
83332.Rv1379,83332.Rv1380,997
83332.Rv1380,83332.Rv1379,997
83332.Rv1380,83332.Rv1381,999
83332.Rv1380,83332.Rv1383,999
83332.Rv1380,83332.Rv1384,999
83332.Rv1381,83332.Rv1380,999
83332.Rv1383,83332.Rv1380,999
83332.Rv1383,83332.Rv1384,999
83332.Rv1383,83332.Rv1656,996
83332.Rv1384,83332.Rv1380,999
83332.Rv1384,83332.Rv1383,999
83332.Rv1408,83332.Rv1449c,996
83332.Rv1412,83332.Rv1416,999
83332.Rv1413,83332.Rv1414,996
83332.Rv1414,83332.Rv1413,996
83332.Rv1415,83332.Rv1416,999
83332.Rv1416,83332.Rv1412,999
83332.Rv1416,83332.Rv1415,999
83332.Rv1420,83332.Rv1633,999
83332.Rv1436,83332.Rv0363c,996
83332.Rv1436,83332.Rv1437,999
83332.Rv1436,83332.Rv1438,999
83332.Rv1437,83332.Rv1023,998
83332.Rv1437,83332.Rv1436,999
83332.Rv1437,83332.Rv1438,999
83332.Rv1438,83332.Rv0363c,997
83332.Rv1438,83332.Rv1436,999
83332.Rv1438,83332.Rv1437,999
83332.Rv1445c,83332.Rv1447c,998
83332.Rv1447c,83332.Rv1445c,998
83332.Rv1449c,83332.Rv1408,996
83332.Rv1451,83332.Rv2193,996
83332.Rv1461,83332.Rv1463,996
83332.Rv1463,83332.Rv1461,996
83332.Rv1463,83332.Rv1464,998
83332.Rv1464,83332.Rv1463,998
83332.Rv1492,83332.Rv1493,998
83332.Rv1493,83332.Rv1492,998
83332.Rv1493,83332.Rv1496,999
83332.Rv1496,83332.Rv1493,999
83332.Rv1511,83332.Rv1512,999
83332.Rv1512,83332.Rv1511,999
83332.Rv1552,83332.Rv1553,999
83332.Rv1552,83332.Rv1554,999
83332.Rv1553,83332.Rv1552,999
83332.Rv1553,83332.Rv1554,999
83332.Rv1553,83332.Rv1555,999
83332.Rv1554,83332.Rv1552,999
83332.Rv1554,83332.Rv1553,999
83332.Rv1554,83332.Rv1555,999
83332.Rv1555,83332.Rv1553,999
83332.Rv1555,83332.Rv1554,999
83332.Rv1568,83332.Rv1569,997
83332.Rv1568,83332.Rv1570,997
83332.Rv1569,83332.Rv1568,997
83332.Rv1570,83332.Rv1568,997
83332.Rv1594,83332.Rv1595,999
83332.Rv1594,83332.Rv1596,999
83332.Rv1595,83332.Rv1594,999
83332.Rv1595,83332.Rv1596,996
83332.Rv1596,83332.Rv1594,999
83332.Rv1596,83332.Rv1595,996
83332.Rv1599,83332.Rv1600,998
83332.Rv1599,83332.Rv1601,999
83332.Rv1599,83332.Rv1602,998
83332.Rv1599,83332.Rv1603,996
83332.Rv1599,83332.Rv1605,998
83332.Rv1599,83332.Rv1606,999
83332.Rv1599,83332.Rv2121c,996
83332.Rv1600,83332.Rv1599,998
83332.Rv1600,83332.Rv1601,999
83332.Rv1601,83332.Rv1599,999
83332.Rv1601,83332.Rv1600,999
83332.Rv1601,83332.Rv1602,999
83332.Rv1601,83332.Rv1603,997
83332.Rv1601,83332.Rv1605,999
83332.Rv1601,83332.Rv1606,997
83332.Rv1602,83332.Rv1599,998
83332.Rv1602,83332.Rv1601,999
83332.Rv1602,83332.Rv1603,999
83332.Rv1602,83332.Rv1605,999
83332.Rv1603,83332.Rv1599,996
83332.Rv1603,83332.Rv1601,997
83332.Rv1603,83332.Rv1602,999
83332.Rv1603,83332.Rv1605,998
83332.Rv1603,83332.Rv1606,999
83332.Rv1605,83332.Rv1599,998
83332.Rv1605,83332.Rv1601,999
83332.Rv1605,83332.Rv1602,999
83332.Rv1605,83332.Rv1603,998
83332.Rv1605,83332.Rv1606,999
83332.Rv1606,83332.Rv1599,999
83332.Rv1606,83332.Rv1601,997
83332.Rv1606,83332.Rv1603,999
83332.Rv1606,83332.Rv1605,999
83332.Rv1606,83332.Rv2122c,997
83332.Rv1609,83332.Rv0013,999
83332.Rv1609,83332.Rv2192c,998
83332.Rv1611,83332.Rv1612,999
83332.Rv1611,83332.Rv1613,999
83332.Rv1611,83332.Rv2192c,999
83332.Rv1612,83332.Rv1611,999
83332.Rv1612,83332.Rv1613,999
83332.Rv1613,83332.Rv1611,999
83332.Rv1613,83332.Rv1612,999
83332.Rv1617,83332.Rv1023,997
83332.Rv1622c,83332.Rv1623c,999
83332.Rv1623c,83332.Rv1622c,999
83332.Rv1633,83332.Rv1420,999
83332.Rv1633,83332.Rv1638,999
83332.Rv1638,83332.Rv1633,999
83332.Rv1649,83332.Rv1650,999
83332.Rv1650,83332.Rv1649,999
83332.Rv1652,83332.Rv1653,997
83332.Rv1652,83332.Rv1654,999
83332.Rv1652,83332.Rv1655,999
83332.Rv1652,83332.Rv1656,998
83332.Rv1653,83332.Rv1652,997
83332.Rv1653,83332.Rv1654,999
83332.Rv1653,83332.Rv1655,998
83332.Rv1653,83332.Rv1656,999
83332.Rv1653,83332.Rv1658,998
83332.Rv1654,83332.Rv1652,999
83332.Rv1654,83332.Rv1653,999
83332.Rv1655,83332.Rv1652,999
83332.Rv1655,83332.Rv1653,998
83332.Rv1656,83332.Rv1383,996
83332.Rv1656,83332.Rv1652,998
83332.Rv1656,83332.Rv1653,999
83332.Rv1656,83332.Rv1658,999
83332.Rv1656,83332.Rv1659,998
83332.Rv1658,83332.Rv1653,998
83332.Rv1658,83332.Rv1656,999
83332.Rv1658,83332.Rv1659,999
83332.Rv1659,83332.Rv1656,998
83332.Rv1659,83332.Rv1658,999
83332.Rv1709,83332.Rv1710,996
83332.Rv1710,83332.Rv1709,996
83332.Rv1826,83332.Rv1832,998
83332.Rv1826,83332.Rv2211c,999
83332.Rv1832,83332.Rv1826,998
83332.Rv1832,83332.Rv2211c,999
83332.Rv1843c,83332.Rv3396c,996
83332.Rv1848,83332.Rv1849,999
83332.Rv1848,83332.Rv1850,999
83332.Rv1848,83332.Rv1851,997
83332.Rv1848,83332.Rv1852,999
83332.Rv1849,83332.Rv1848,999
83332.Rv1849,83332.Rv1850,999
83332.Rv1849,83332.Rv1851,997
83332.Rv1849,83332.Rv1852,999
83332.Rv1850,83332.Rv1848,999
83332.Rv1850,83332.Rv1849,999
83332.Rv1850,83332.Rv1851,997
83332.Rv1850,83332.Rv1852,999
83332.Rv1851,83332.Rv1848,997
83332.Rv1851,83332.Rv1849,997
83332.Rv1851,83332.Rv1850,997
83332.Rv1851,83332.Rv1852,997
83332.Rv1852,83332.Rv1848,999
83332.Rv1852,83332.Rv1849,999
83332.Rv1852,83332.Rv1850,999
